subject,session,stim,answer,conf,correct,contrast,rt,points
10,1,1,1,0.993,1,3,1.4263568,14
10,1,2,2,0.982,1,3,1.162759067,15
10,2,1,1,0.569,1,1,1.68675164,1
10,2,1,1,0.904,1,3,1.45462932,2
10,2,1,1,0.627,1,2,1.494165564,3
10,2,1,2,1,0,1,1.284064903,2
10,2,1,1,1,1,1,1.24227727,3
10,2,1,1,0.533,1,1,1.427093399,4
10,2,2,1,0.648,0,1,1.621612778,3
10,2,2,2,0.82,1,2,1.510054937,4
10,2,1,1,0.998,1,3,1.499730646,5
10,2,1,1,1,1,2,1.392329923,6
10,2,2,2,1,1,2,1.394553034,7
10,2,1,1,0.591,1,1,1.637447602,8
10,2,1,1,0.87,1,3,1.085235896,9
10,2,2,2,1,1,3,1.035907268,10
10,2,1,1,0.851,1,3,1.845852639,11
10,2,2,2,0.589,1,3,2.166013864,12
10,2,2,2,0.773,1,3,1.311433972,13
10,2,2,1,0.52,0,3,1.846657438,12
10,2,2,2,0.514,1,1,1.805212674,13
10,2,2,2,0.655,1,1,1.181835526,14
10,2,1,2,0.548,0,1,1.856547109,15
10,2,2,2,0.828,1,1,1.44889792,16
10,2,2,2,0.7,1,2,1.113308821,17
10,2,1,1,0.56,1,3,1.389073931,18
10,2,1,1,0.542,1,1,1.01527016,19
10,2,1,2,0.589,0,1,1.19469657,18
10,2,2,1,0.525,0,1,1.036129127,17
10,2,1,1,0.693,1,3,1.021914212,18
10,2,2,2,0.857,1,2,1.158386152,19
10,2,2,2,0.738,1,2,1.091032299,20
10,2,1,1,0.759,1,3,1.384930787,21
10,2,2,2,0.56,1,1,1.955711672,22
10,2,2,2,0.522,1,3,1.304306279,23
10,2,2,2,0.551,1,3,1.091646656,22
10,2,2,1,0.558,0,1,0.979916762,21
10,2,1,1,0.86,1,3,2.296043259,22
10,2,1,1,1,1,3,1.171962085,23
10,2,2,2,0.766,1,3,1.350433211,24
10,2,1,1,1,1,3,0.859496232,25
10,2,1,1,0.571,1,2,1.667180985,26
10,3,1,1,1,1,2,1.450159761,1
10,3,2,1,0.522,0,2,1.282991205,2
10,3,2,2,1,1,2,0.809943092,3
10,3,2,2,0.748,1,3,2.196374455,4
10,3,1,1,0.795,1,2,1.646443949,5
10,3,2,2,1,1,1,1.07022618,6
10,3,2,2,1,1,2,0.836085207,7
10,3,2,2,0.676,1,2,1.126307956,8
10,3,1,1,1,1,2,0.842239534,9
10,3,2,2,1,1,2,0.980264477,10
10,3,1,1,1,1,3,0.743815844,11
10,3,2,2,1,1,2,0.68460964,12
10,3,2,2,1,1,3,0.653180569,13
10,3,2,2,0.73,1,1,1.524364545,14
10,3,1,1,1,1,3,0.680652811,15
10,3,2,2,1,1,1,0.945170966,16
10,3,1,2,0.666,0,1,0.948263139,15
10,3,2,2,0.934,1,1,1.450017676,16
10,3,2,2,1,1,3,1.090748712,17
10,3,1,1,1,1,1,1.055619192,18
10,3,2,2,1,1,2,1.079544741,19
10,3,2,2,0.6,1,1,1.024232402,20
10,3,1,1,0.54,1,3,2.31151147,21
10,3,2,1,1,0,3,2.820637769,20
10,3,1,2,0.754,0,1,1.654575415,19
10,3,1,1,1,1,3,0.732029754,20
10,3,2,2,1,1,3,0.673881838,21
10,3,1,1,1,1,1,0.697106761,22
10,3,1,1,1,1,2,1.12847856,23
10,3,2,2,1,1,2,0.773999776,24
10,3,2,2,0.554,1,3,1.153943263,25
10,3,1,1,1,1,3,0.741449823,26
10,3,2,2,1,1,2,0.753342205,27
10,3,1,1,1,1,3,0.719420462,28
10,3,2,2,1,1,3,1.100987117,29
10,3,2,2,0.792,1,1,1.658529907,30
10,3,1,2,0.822,0,1,2.417733485,29
10,3,1,1,1,1,2,0.723261865,30
10,3,1,1,0.654,1,1,2.246595601,31
10,3,2,2,0.92,1,1,1.823429957,32
11,1,2,2,0.985,1,2,2.016672701,1
11,1,1,1,0.994,1,3,2.036623801,2
11,1,1,1,1,1,3,1.787801483,3
11,1,2,2,1,1,3,1.789889515,4
11,1,2,2,0.981,1,3,1.70248144,5
11,1,2,2,0.989,1,3,1.796007157,6
11,1,2,2,1,1,3,2.406230837,7
11,1,2,2,1,1,2,1.246489215,8
11,1,2,2,0.981,1,2,1.374812815,9
11,1,2,2,0.915,1,1,2.977459911,10
11,1,2,2,0.997,1,1,1.411559714,11
11,1,1,1,1,1,3,1.18962538,12
11,1,1,1,0.993,1,3,2.550043656,13
11,1,2,2,1,1,3,1.506226535,14
11,1,1,1,0.992,1,2,1.198825545,15
11,2,1,2,0.909,0,1,2.154172306,-1
11,2,2,2,0.809,1,1,1.134062516,0
11,2,2,1,0.75,0,1,1.138878596,-1
11,2,1,2,0.967,0,3,1.088053648,-2
11,2,1,1,0.909,1,1,1.053708421,-1
11,2,1,2,0.818,0,1,0.916443717,-2
11,2,2,2,0.854,1,1,1.329649616,-1
11,2,1,1,1,1,3,0.928863464,0
11,2,1,1,1,1,1,0.998302902,1
11,2,2,2,1,1,2,0.761074982,2
11,2,2,2,0.758,1,2,1.148131354,3
11,2,1,1,1,1,2,0.737463981,4
11,2,2,2,1,1,3,0.790699998,5
11,2,2,2,1,1,2,0.905736822,6
11,2,2,2,1,1,2,0.910490217,7
11,2,2,2,1,1,2,0.772393763,8
11,2,2,2,1,1,2,0.665013803,9
11,2,2,1,1,0,2,0.936867751,8
11,2,2,2,1,1,3,0.636712507,9
11,2,1,1,1,1,2,0.734237327,10
11,2,1,1,1,1,1,0.747311387,11
11,2,1,2,1,0,1,0.672688854,10
11,2,1,1,1,1,1,0.864974181,11
11,2,1,1,1,1,2,0.703977713,12
11,2,2,2,1,1,3,0.646739679,13
11,2,2,1,1,0,1,0.657100139,12
11,2,1,1,0.917,1,3,0.703311306,13
11,2,2,1,0.947,0,3,0.89453635,12
11,2,1,1,0.773,1,2,0.68464509,13
11,2,1,1,0.86,1,1,1.254645982,14
11,2,1,1,1,1,3,0.708932143,15
11,2,1,1,1,1,3,0.707224714,16
11,2,2,1,0.776,0,2,1.257191047,15
11,2,1,1,1,1,2,0.737582722,16
11,2,2,2,1,1,1,0.709113697,17
11,2,2,2,1,1,2,1.14710135,18
11,2,2,2,1,1,3,0.831803204,19
11,2,2,2,1,1,3,0.971159326,20
11,2,2,2,1,1,3,0.646312181,21
11,2,2,1,1,0,1,0.74960016,20
11,3,1,1,1,1,1,1.242545049,1
11,3,2,2,1,1,2,1.168061375,2
11,3,1,1,1,1,3,0.684731883,3
11,3,1,1,1,1,3,0.684476076,4
11,3,1,1,1,1,2,0.628216551,5
11,3,2,2,1,1,2,0.605524716,6
11,3,1,1,1,1,2,0.61621908,7
11,3,1,1,1,1,1,0.609908846,8
11,3,1,1,1,1,1,0.605589164,9
11,3,1,1,1,1,1,0.533352693,10
11,3,2,1,1,0,1,0.653212446,9
11,3,1,1,0.696,1,1,0.910325261,10
11,3,2,1,1,0,1,0.674364422,9
11,3,2,2,0.781,1,2,0.795086488,8
11,3,1,1,0.859,1,3,0.750264396,9
11,3,2,2,0.913,1,2,1.114195197,10
11,3,2,1,0.872,0,2,0.944833113,9
11,3,1,2,0.894,0,2,0.812633641,8
11,3,1,1,0.885,1,1,1.191286763,9
11,3,2,2,0.878,1,2,1.01756514,10
11,3,2,2,0.91,1,3,1.090869563,11
11,3,1,1,0.955,1,1,0.980816893,12
11,3,2,2,0.868,1,1,0.948814168,13
11,3,2,2,0.795,1,3,0.936977144,14
11,3,1,1,0.75,1,2,0.845966775,15
11,3,2,2,0.923,1,1,0.935276176,16
11,3,2,2,0.711,1,1,0.893680293,17
11,3,1,1,0.93,1,3,0.868015871,18
11,3,1,1,1,1,3,1.051373015,19
11,3,2,2,0.911,1,1,1.028337583,20
11,3,1,2,1,0,1,0.822422141,19
11,3,1,1,1,1,1,0.639950088,20
11,3,1,1,0.708,1,2,0.880116549,21
11,3,1,1,0.866,1,3,0.783989505,22
11,3,1,1,0.923,1,2,1.050700398,23
11,3,1,1,0.791,1,3,1.211698008,24
11,3,1,1,0.873,1,2,1.237985847,25
11,3,2,1,0.841,0,2,1.101953236,24
11,3,1,2,0.762,0,1,2.356983209,23
11,3,2,1,0.808,0,1,0.869909577,22
12,1,2,2,0.989,1,3,5.364487816,1
12,1,2,2,1,1,2,1.751553468,2
12,1,2,2,1,1,3,2.731718498,3
12,1,1,1,1,1,2,2.222990659,4
12,1,1,1,0.989,1,1,2.029681154,5
12,1,2,2,1,1,1,1.821519426,6
12,1,1,1,1,1,3,2.678332976,7
12,1,1,1,1,1,3,1.739627218,8
12,1,1,1,1,1,1,1.566839714,9
12,1,2,2,1,1,1,1.420003211,10
12,1,2,2,0.991,1,2,1.636779757,11
12,1,1,1,1,1,2,1.491310461,12
12,1,1,1,1,1,1,1.322768704,13
12,1,1,1,0.99,1,1,1.191983098,14
12,1,2,2,1,1,1,1.288975514,15
12,2,1,2,1,0,2,3.729848376,-1
12,2,1,2,0.99,0,3,2.600109409,-2
12,2,2,2,0.504,1,2,1.336430229,-1
12,2,1,1,1,1,2,1.734335254,0
12,2,1,2,1,0,2,1.987188458,-1
12,2,1,2,1,0,1,1.885178334,-2
12,2,2,1,0.996,0,1,1.337323469,-3
12,2,1,1,0.653,1,2,0.935389805,-2
12,2,1,1,1,1,3,1.507292172,-1
12,2,2,1,0.778,0,3,1.345349137,-2
12,2,2,1,0.84,0,3,1.119135422,-3
12,2,1,2,0.832,0,3,0.818418416,-4
12,2,1,1,1,1,2,1.005276143,-3
12,2,1,1,1,1,1,0.959772543,-2
12,2,2,2,0.909,1,2,0.964029425,-1
12,2,2,1,1,0,3,1.663644031,-2
12,2,2,2,0.708,1,2,0.967783007,-1
12,2,1,1,0.921,1,3,0.842732161,0
12,2,1,1,1,1,3,0.819091599,1
12,2,2,2,0.837,1,1,1.309873343,2
12,2,2,1,1,0,2,0.88297393,1
12,2,2,1,0.903,0,3,0.355287622,0
12,2,2,2,1,1,2,0.376007717,1
12,2,2,1,1,0,2,0.707310594,0
12,2,1,1,0.902,1,1,0.450272423,1
12,2,1,2,1,0,1,0.907236654,0
12,2,2,1,0.923,0,2,0.632841146,-1
12,2,1,1,0.763,1,1,0.658599808,0
12,2,1,1,0.75,1,2,0.635955095,1
12,2,1,1,0.821,1,2,1.165918775,2
12,2,1,2,1,0,2,0.848886932,1
12,2,1,1,0.72,1,3,0.530055433,2
12,2,2,1,1,0,3,0.486979989,1
12,2,1,1,1,1,2,0.599109683,2
12,2,2,2,0.961,1,3,0.873205257,3
12,2,1,1,0.621,1,1,0.792226652,4
12,2,1,1,0.811,1,1,0.395313696,5
12,2,2,1,0.635,0,2,0.591175709,4
12,2,2,1,0.675,0,3,0.570230068,3
12,2,1,1,1,1,1,0.973694711,4
12,3,2,1,0.506,0,2,4.932192985,1
12,3,1,2,0.664,0,3,0.871326237,0
12,3,2,1,1,0,2,0.430983692,-1
12,3,1,1,1,1,1,1.488253385,0
